2016-12-30	0.000897	0.031854	0.031715	0.031944	0.031759	1592500
2016-12-29	0.001853	0.031728	0.031655	0.031897	0.03173	1102000
2016-12-28	-0.004695	0.031833	0.03171	0.031895	0.031671	1258400
2016-12-27	0.000951	0.031794	0.031666	0.031994	0.031821	651000
2016-12-23	-0.002511	0.03187	0.031682	0.031987	0.031791	731100
2016-12-22	0.004315	0.031834	0.031712	0.031888	0.031871	1225600
2016-12-21	-0.001231	0.031783	0.031724	0.031967	0.031734	1555900
2016-12-20	0.00275	0.031737	0.031689	0.031903	0.031773	1376100
2016-12-19	0.004001	0.031607	0.031572	0.03177	0.031686	1369700
2016-12-16	0.008124	0.03142	0.031542	0.031632	0.031559	3749600
2016-12-15	-0.003284	0.031544	0.03138	0.031363	0.031305	2048800
2016-12-14	-0.01247	0.031883	0.0317	0.031607	0.031408	2175600
2016-12-13	-0.004509	0.031955	0.031818	0.031671	0.031805	2635500
2016-12-12	0.006443	0.031721	0.031774	0.031815	0.031949	2287800
2016-12-09	0.01484	0.031206	0.031608	0.031408	0.031744	2650400
2016-12-08	-0.000966	0.031334	0.031162	0.031313	0.03128	1783500
2016-12-07	0.024738	0.030676	0.031111	0.030811	0.03131	3138500
2016-12-06	0.001049	0.030576	0.030399	0.030679	0.030555	1439200
2016-12-05	-0.004698	0.03072	0.030562	0.030654	0.030523	2176800
2016-12-02	-0.001159	0.030703	0.030692	0.03086	0.030667	1869300
2016-12-01	0.005182	0.030544	0.030524	0.030718	0.030702	1755800
2016-11-30	-0.005962	0.030644	0.030604	0.030743	0.030544	2527700
2016-11-29	0.001565	0.030704	0.030622	0.030844	0.030727	1473200
2016-11-28	-0.005706	0.030886	0.030706	0.030867	0.030679	1672500
2016-11-25	0.007199	0.030646	0.030745	0.030854	0.030855	945800
2016-11-23	0.001978	0.030623	0.030526	0.030774	0.030635	1477900
2016-11-22	0.002274	0.03055	0.030408	0.030688	0.030574	1553300
2016-11-21	-0.008326	0.030505	0.03039	0.030587	0.030505	1993900
2016-11-18	0.0011	0.030699	0.03062	0.030869	0.030761	1711100
2016-11-17	0.004418	0.03061	0.030615	0.030819	0.030727	1783700
2016-11-16	-0.006469	0.030809	0.030611	0.03074	0.030592	2022600
2016-11-15	0.007692	0.030815	0.030791	0.030801	0.030989	2177100
2016-11-14	-0.012394	0.031183	0.031014	0.030799	0.030752	2607000
2016-11-11	0.00459	0.030973	0.030947	0.031127	0.031138	1868200
2016-11-10	0.02283	0.030281	0.030866	0.030421	0.030996	3280000
2016-11-09	-0.003742	0.029512	0.030217	0.029713	0.030304	3659300
2016-11-08	0.0076	0.030235	0.030403	0.030419	0.030418	1955700
2016-11-07	0.019582	0.029923	0.030021	0.030097	0.030188	1930900
2016-11-04	-0.002098	0.029756	0.02966	0.029817	0.029608	1927500
